Vine,budburst_onset_doy_2020,flower_onset_doy_2020,leaf_onset_doy_2020,fruit_onset_doy_2020,verasion_doy_2020,budburst_onset_doy_2021,flower_onset_doy_2021,leaf_onset_doy_2021,fruit_onset_doy_2021,verasion_doy_2021
1.060.001,NA,NA,NA,NA,NA,134,145,137,161,200
1.060.002,NA,170,148,NA,NA,128,145,134,165,200
1.060.004,NA,NA,148,NA,NA,128,145,134,161,217
1.060.005,NA,NA,148,NA,NA,128,145,134,161,217
1.060.006,NA,NA,148,NA,NA,128,145,137,161,NA
1.060.007,NA,NA,NA,NA,NA,128,145,137,161,204
1.060.008,NA,NA,148,NA,NA,134,145,137,161,200
1.060.009,NA,NA,151,NA,NA,128,145,134,161,NA
1.060.010,NA,NA,148,NA,NA,134,145,137,161,217
1.060.011,NA,NA,NA,NA,NA,128,145,137,165,NA
1.060.012,NA,NA,NA,NA,NA,128,152,134,161,200
1.060.013,NA,NA,NA,NA,NA,128,145,137,161,200
1.060.014,NA,NA,151,NA,NA,128,145,134,161,NA
1.060.016,144,NA,148,209,NA,134,145,137,161,217
1.060.018,141,NA,144,NA,NA,128,145,137,161,217
1.060.019,138,NA,NA,NA,NA,137,NA,NA,NA,NA
1.060.020,NA,NA,148,173,222,128,145,134,161,217
1.060.021,144,NA,148,NA,NA,128,145,137,165,200
1.060.022,138,163,144,222,215,128,145,134,161,217
1.060.024,NA,NA,NA,NA,NA,137,145,140,168,217
1.060.025,NA,NA,148,NA,NA,NA,145,134,161,204
1.060.026,NA,NA,NA,NA,NA,134,145,137,165,NA
1.060.027,NA,NA,158,NA,NA,134,145,137,NA,NA
1.060.028,NA,NA,151,NA,NA,134,145,137,165,217
1.060.029,NA,NA,NA,NA,NA,128,145,137,161,217
1.060.030,NA,NA,148,173,226,137,145,140,161,217
1.061.001,NA,NA,NA,NA,NA,134,145,137,161,217
1.061.002,NA,NA,151,NA,NA,NA,NA,NA,NA,NA
1.061.004,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
1.061.005,NA,NA,166,NA,NA,NA,NA,NA,NA,NA
1.061.006,NA,NA,NA,NA,NA,128,145,134,161,NA
1.061.007,138,166,141,170,239,128,145,134,161,NA
1.061.008,NA,163,144,170,239,134,145,137,161,217
1.061.009,NA,NA,148,NA,NA,134,145,137,161,217
1.061.010,NA,NA,148,NA,NA,134,145,137,161,217
1.061.011,NA,NA,148,NA,NA,134,145,140,161,217
1.061.012,NA,NA,NA,NA,NA,128,145,134,161,204
1.061.013,NA,NA,148,NA,NA,134,152,137,161,217
1.061.014,NA,160,144,170,226,134,145,137,161,217
1.061.016,NA,NA,148,NA,NA,134,145,137,NA,NA
1.061.017,NA,NA,NA,NA,NA,NA,145,134,161,NA
1.061.018,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
1.061.019,NA,NA,NA,NA,NA,128,145,134,161,200
1.061.020,NA,163,144,170,209,134,145,137,161,204
1.061.021,141,NA,148,NA,NA,134,145,137,161,NA
1.061.023,NA,NA,148,NA,NA,NA,145,134,161,217
1.061.024,NA,NA,148,NA,NA,NA,145,134,161,217
1.061.025,NA,NA,148,NA,NA,134,NA,NA,NA,NA
1.061.026,NA,NA,NA,NA,NA,128,145,137,161,200
1.061.027,NA,NA,148,NA,NA,128,145,134,161,200
1.061.028,NA,NA,148,181,NA,NA,145,NA,161,200
1.061.029,NA,163,144,170,209,NA,NA,NA,NA,NA
1.061.030,141,NA,148,NA,NA,134,145,137,161,217
1.061.031,NA,163,138,166,209,NA,158,NA,165,NA
1.061.032,NA,NA,148,NA,NA,128,145,134,161,217
1.061.033,141,NA,NA,NA,NA,128,158,137,161,NA
1.061.034,138,166,144,173,NA,128,145,137,161,NA
1.062.001,NA,NA,148,NA,NA,134,145,140,161,217
1.062.002,NA,NA,NA,NA,NA,134,NA,137,NA,NA
1.062.003,NA,NA,NA,NA,NA,NA,NA,137,NA,NA
1.062.004,NA,NA,160,NA,NA,128,145,137,161,200
1.062.006,NA,NA,148,NA,NA,134,145,140,161,217
1.062.007,NA,NA,148,NA,NA,134,155,137,NA,NA
1.062.008,NA,166,144,177,NA,128,NA,134,NA,NA
1.062.009,NA,160,141,166,209,NA,NA,NA,NA,NA
1.062.010,NA,160,144,215,209,128,145,134,161,NA
1.062.011,NA,NA,148,NA,NA,134,145,137,161,NA
1.062.012,NA,NA,151,NA,NA,128,145,137,161,200
1.062.013,NA,NA,148,NA,NA,128,145,134,161,200
1.062.014,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
1.062.015,NA,NA,NA,NA,NA,128,145,137,161,200
1.062.016,NA,NA,148,NA,NA,128,145,134,161,217
1.062.018,NA,NA,NA,NA,NA,128,145,134,161,NA
1.062.019,NA,NA,NA,NA,NA,128,145,137,161,217
1.062.020,NA,163,144,170,222,134,145,137,161,217
1.062.022,144,NA,148,NA,NA,128,145,137,161,NA
1.062.023,NA,NA,148,204,229,128,145,137,161,217
1.062.024,NA,NA,154,NA,NA,128,145,134,161,217
1.062.026,NA,NA,NA,NA,NA,NA,145,140,161,NA
1.062.029,NA,NA,148,NA,NA,134,172,137,165,NA
1.062.030,138,163,144,170,209,128,145,134,165,217
1.062.031,138,166,144,NA,NA,NA,NA,NA,NA,NA
1.062.032,NA,NA,148,NA,NA,134,161,137,161,217
1.062.033,NA,NA,154,NA,NA,128,145,140,161,217
1.062.034,NA,NA,154,NA,NA,128,NA,134,NA,NA
1.062.035,NA,163,141,170,NA,134,145,140,161,217
1.062.037,NA,177,158,NA,NA,137,145,140,161,217
1.063.002,144,NA,158,NA,NA,128,145,134,165,217
1.063.004,NA,NA,NA,NA,NA,128,145,134,165,200
1.063.005,NA,NA,148,NA,NA,128,145,137,165,200
1.063.006,NA,NA,NA,NA,NA,128,145,134,165,200
1.063.007,141,NA,148,NA,NA,134,145,137,165,200
1.063.009,NA,NA,148,NA,NA,134,145,137,165,217
1.063.010,NA,NA,148,NA,NA,134,145,137,165,NA
1.063.011,NA,NA,148,NA,NA,128,145,134,165,200
1.063.012,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
1.063.014,NA,NA,148,NA,NA,NA,145,134,165,217
1.063.015,NA,163,144,NA,NA,134,145,137,165,217
1.063.017,NA,NA,148,NA,NA,134,145,137,165,200
1.063.018,NA,NA,NA,NA,NA,134,NA,NA,NA,NA
1.063.020,138,163,158,187,222,128,145,134,165,217
1.063.021,NA,NA,148,NA,NA,128,145,137,165,217
1.063.022,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
1.063.024,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
1.063.026,138,163,141,170,NA,128,145,134,165,217
