Female,Male,Vine,Observation_no,2020-05-06,2020-05-12,2020-05-17,2020-05-20,2020-05-23,2020-05-27,2020-05-30,2020-06-02,2020-06-06,2020-06-08,2020-06-11,2020-06-14,2020-06-18,2020-06-21,2020-06-25,2020-06-29,2020-07-02,2020-07-05,2020-07-13,2020-07-22,2020-07-27,2020-08-02,2020-08-09,2020-08-13,2020-08-16,2020-08-22,2020-08-26
SKND.009.41,ND.213,1.060.001,1,1,0,3,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.002,1,5,3,3,3,1,11,12,13,16,16,15,19,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.004,1,1,1,1,1,1,15,4,3,NA,11,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.005,1,NA,NA,NA,3,5,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.006,1,1,3,3,3,3,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.007,1,1,0,3,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.008,1,5,3,5,5,7,13,14,15,16,17,18,18,19,19,NA,23,18,23,23,34,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.009,1,1,0,1,3,3,8,11,12,14,15,16,18,NA,NA,23,24,24,27,23,30,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.010,1,1,1,1,1,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
