Female,Male,Vine,Observation_no,2021-05-08,2021-05-14,2021-05-17,2021-05-20,2021-05-25,2021-06-01,2021-06-04,2021-06-07,2021-06-10,2021-06-14,2021-06-17,2021-06-21,2021-06-24,2021-06-28,2021-07-02,2021-07-07,2021-07-12,2021-07-15,2021-07-19,2021-07-23,2021-07-26,2021-08-05
SKND.009.41,ND.213,1.060.001,1,5,7,8,15,53,53,53,57,71,69,75,75,75,77,79,79,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.001,2,3,8,11,14,53,53,55,57,63,73,73,75,75,77,79,79,79,79,81,81,81,85
SKND.009.41,ND.213,1.060.001,3,1,8,11,13,53,53,55,57,65,73,73,75,75,77,79,79,79,79,81,81,81,85
SKND.009.41,ND.213,1.060.001,4,1,5,11,14,53,53,55,57,66,73,73,75,77,79,79,79,79,79,81,83,83,85
SKND.009.41,ND.213,1.060.002,1,5,11,11,15,53,53,55,61,69,71,73,75,75,73,75,79,79,79,81,83,83,85
SKND.009.41,ND.213,1.060.002,2,5,5,12,14,53,53,55,57,65,71,73,75,73,73,77,79,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.002,3,5,5,12,15,53,55,55,57,65,71,73,75,75,77,75,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.002,4,5,5,12,14,53,55,55,57,66,73,73,73,75,75,75,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.003,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.003,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.004,1,7,12,12,15,53,57,57,68,71,71,71,75,73,73,77,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.004,2,7,12,13,15,53,57,57,68,71,71,73,75,73,73,77,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.004,3,7,11,13,15,53,55,55,68,71,71,73,73,73,73,77,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.004,4,8,11,13,14,53,55,55,68,71,73,73,73,75,75,77,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.005,1,5,11,11,15,53,53,57,65,71,71,71,75,73,73,77,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.005,2,5,11,11,15,53,53,57,66,69,71,71,75,73,75,77,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.005,3,5,8,13,13,53,55,55,68,73,73,73,73,75,77,77,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.005,4,7,8,8,14,55,55,55,68,69,75,73,73,75,75,77,77,79,79,79,79,79,85
SKND.009.41,ND.213,1.060.006,1,7,8,12,15,53,57,57,60,71,71,75,75,75,73,75,75,79,79,79,79,79,79
