"","ID","Male","Female","yyyymmdd","DOY","Vine","1","2","3","4"
"1","1.093.004_2020-05-23","ND.213","ND.054.27","2020-05-23","144","1.093.004",7,5,0,0
"2","1.093.005_2020-05-17","ND.213","ND.054.27","2020-05-17","138","1.093.005",5,3,1,1
"3","1.093.005_2020-05-23","ND.213","ND.054.27","2020-05-23","144","1.093.005",3,1,0,0
"4","1.093.015_2020-05-27","ND.213","ND.054.27","2020-05-27","148","1.093.015",14,14,5,3
"5","1.093.016_2020-05-06","ND.213","ND.054.27","2020-05-06","127","1.093.016",3,1,0,0
"6","1.093.016_2020-05-12","ND.213","ND.054.27","2020-05-12","133","1.093.016",3,1,1,0
"7","1.093.016_2020-05-17","ND.213","ND.054.27","2020-05-17","138","1.093.016",5,1,1,1
"8","1.093.016_2020-05-23","ND.213","ND.054.27","2020-05-23","144","1.093.016",3,1,1,0
"9","1.093.016_2020-05-27","ND.213","ND.054.27","2020-05-27","148","1.093.016",1,1,0,0
"10","1.093.016_2020-05-30","ND.213","ND.054.27","2020-05-30","151","1.093.016",13,0,0,0
"11","1.093.016_2020-06-06","ND.213","ND.054.27","2020-06-06","158","1.093.016",5,0,0,0
"12","1.093.016_2020-06-18","ND.213","ND.054.27","2020-06-18","170","1.093.016",15,0,0,0
"13","1.093.016_2020-06-21","ND.213","ND.054.27","2020-06-21","173","1.093.016",14,0,0,0
"14","1.093.016_2020-06-25","ND.213","ND.054.27","2020-06-25","177","1.093.016",15,0,0,0
"15","1.093.017_2020-05-06","ND.213","ND.054.27","2020-05-06","127","1.093.017",1,0,0,0
"16","1.093.017_2020-05-12","ND.213","ND.054.27","2020-05-12","133","1.093.017",1,1,1,0
"17","1.093.017_2020-05-17","ND.213","ND.054.27","2020-05-17","138","1.093.017",1,1,1,1
"18","1.093.017_2020-05-20","ND.213","ND.054.27","2020-05-20","141","1.093.017",3,1,1,0
"19","1.093.017_2020-05-23","ND.213","ND.054.27","2020-05-23","144","1.093.017",1,1,1,0
"20","1.093.017_2020-05-30","ND.213","ND.054.27","2020-05-30","151","1.093.017",0,0,0,0
"21","1.093.019_2020-05-06","ND.213","ND.054.27","2020-05-06","127","1.093.019",0,0,0,0
"22","1.093.019_2020-05-12","ND.213","ND.054.27","2020-05-12","133","1.093.019",1,1,1,1
"23","1.093.019_2020-05-17","ND.213","ND.054.27","2020-05-17","138","1.093.019",1,1,1,0
"24","1.093.019_2020-05-20","ND.213","ND.054.27","2020-05-20","141","1.093.019",1,1,0,0
"25","1.093.019_2020-05-23","ND.213","ND.054.27","2020-05-23","144","1.093.019",1,1,1,0
"26","1.093.019_2020-05-27","ND.213","ND.054.27","2020-05-27","148","1.093.019",13,12,1,0
"27","1.093.019_2020-05-30","ND.213","ND.054.27","2020-05-30","151","1.093.019",15,14,13,13
"28","1.093.019_2020-06-06","ND.213","ND.054.27","2020-06-06","158","1.093.019",20,17,15,15
"29","1.093.019_2020-06-08","ND.213","ND.054.27","2020-06-08","160","1.093.019",17,16,16,0
"30","1.093.019_2020-06-11","ND.213","ND.054.27","2020-06-11","163","1.093.019",60,18,16,0
"31","1.093.019_2020-06-18","ND.213","ND.054.27","2020-06-18","170","1.093.019",73,73,19,15
"32","1.093.019_2020-06-21","ND.213","ND.054.27","2020-06-21","173","1.093.019",73,73,19,14
"33","1.093.019_2020-06-25","ND.213","ND.054.27","2020-06-25","177","1.093.019",75,23,20,15
"34","1.093.019_2020-06-29","ND.213","ND.054.27","2020-06-29","181","1.093.019",75,75,26,22
"35","1.093.019_2020-07-02","ND.213","ND.054.27","2020-07-02","184","1.093.019",77,75,22,18
"36","1.093.019_2020-07-05","ND.213","ND.054.27","2020-07-05","187","1.093.019",75,77,30,19
"37","1.093.019_2020-07-13","ND.213","ND.054.27","2020-07-13","195","1.093.019",79,79,37,NA
"38","1.093.019_2020-07-22","ND.213","ND.054.27","2020-07-22","204","1.093.019",79,79,79,79
"39","1.093.019_2020-07-27","ND.213","ND.054.27","2020-07-27","209","1.093.019",79,NA,NA,NA
"40","1.093.019_2021-05-08","ND.213","ND.054.27","2021-05-08","128","1.093.019",5,3,3,3
"41","1.093.019_2021-05-14","ND.213","ND.054.27","2021-05-14","134","1.093.019",7,7,5,5
"42","1.093.019_2021-05-17","ND.213","ND.054.27","2021-05-17","137","1.093.019",11,8,8,8
"43","1.093.019_2021-05-20","ND.213","ND.054.27","2021-05-20","140","1.093.019",12,14,13,15
"44","1.093.019_2021-05-25","ND.213","ND.054.27","2021-05-25","145","1.093.019",53,53,53,53
"45","1.093.019_2021-06-01","ND.213","ND.054.27","2021-06-01","152","1.093.019",55,55,53,53
"46","1.093.019_2021-06-04","ND.213","ND.054.27","2021-06-04","155","1.093.019",57,57,57,57
"47","1.093.019_2021-06-07","ND.213","ND.054.27","2021-06-07","158","1.093.019",60,61,68,57
"48","1.093.019_2021-06-14","ND.213","ND.054.27","2021-06-14","165","1.093.019",73,73,73,73
"49","1.093.019_2021-06-17","ND.213","ND.054.27","2021-06-17","168","1.093.019",73,73,73,73
"50","1.093.019_2021-06-21","ND.213","ND.054.27","2021-06-21","172","1.093.019",75,75,75,73
"51","1.093.019_2021-06-24","ND.213","ND.054.27","2021-06-24","175","1.093.019",77,77,75,75
"52","1.093.019_2021-06-28","ND.213","ND.054.27","2021-06-28","179","1.093.019",79,79,79,79
"53","1.093.019_2021-07-02","ND.213","ND.054.27","2021-07-02","183","1.093.019",79,79,79,79
"54","1.093.019_2021-07-07","ND.213","ND.054.27","2021-07-07","188","1.093.019",79,79,79,79
"55","1.093.019_2021-07-12","ND.213","ND.054.27","2021-07-12","193","1.093.019",79,79,79,79
"56","1.093.019_2021-07-15","ND.213","ND.054.27","2021-07-15","196","1.093.019",79,79,79,79
"57","1.093.019_2021-07-19","ND.213","ND.054.27","2021-07-19","200","1.093.019",79,79,79,79
"58","1.093.019_2021-07-23","ND.213","ND.054.27","2021-07-23","204","1.093.019",79,79,79,79
"59","1.093.019_2021-07-26","ND.213","ND.054.27","2021-07-26","207","1.093.019",79,79,79,79
"60","1.093.019_2021-08-05","ND.213","ND.054.27","2021-08-05","217","1.093.019",81,81,81,81
"61","1.093.020_2020-05-06","ND.213","ND.054.27","2020-05-06","127","1.093.020",5,5,5,3
"62","1.093.020_2020-05-12","ND.213","ND.054.27","2020-05-12","133","1.093.020",5,5,5,3
"63","1.093.020_2020-05-17","ND.213","ND.054.27","2020-05-17","138","1.093.020",7,7,5,5
"64","1.093.020_2020-05-20","ND.213","ND.054.27","2020-05-20","141","1.093.020",11,11,8,7
"65","1.093.020_2020-05-23","ND.213","ND.054.27","2020-05-23","144","1.093.020",13,13,12,12
"66","1.093.020_2020-05-27","ND.213","ND.054.27","2020-05-27","148","1.093.020",15,15,14,13
"67","1.093.020_2020-05-30","ND.213","ND.054.27","2020-05-30","151","1.093.020",16,16,15,14
"68","1.093.020_2020-06-06","ND.213","ND.054.27","2020-06-06","158","1.093.020",20,20,18,17
"69","1.093.020_2020-06-08","ND.213","ND.054.27","2020-06-08","160","1.093.020",66,65,64,61
"70","1.093.020_2020-06-11","ND.213","ND.054.27","2020-06-11","163","1.093.020",69,69,69,69
"71","1.093.020_2020-06-14","ND.213","ND.054.27","2020-06-14","166","1.093.020",69,69,69,69
"72","1.093.020_2020-06-18","ND.213","ND.054.27","2020-06-18","170","1.093.020",75,75,73,71
"73","1.093.020_2020-06-21","ND.213","ND.054.27","2020-06-21","173","1.093.020",75,75,75,75
"74","1.093.020_2020-06-25","ND.213","ND.054.27","2020-06-25","177","1.093.020",77,77,75,75
"75","1.093.020_2020-06-29","ND.213","ND.054.27","2020-06-29","181","1.093.020",77,77,77,77
"76","1.093.020_2020-07-02","ND.213","ND.054.27","2020-07-02","184","1.093.020",77,77,75,75
"77","1.093.020_2020-07-05","ND.213","ND.054.27","2020-07-05","187","1.093.020",79,79,79,79
"78","1.093.020_2020-07-13","ND.213","ND.054.27","2020-07-13","195","1.093.020",79,79,79,79
"79","1.093.020_2020-07-22","ND.213","ND.054.27","2020-07-22","204","1.093.020",79,79,79,79
"80","1.093.020_2020-07-27","ND.213","ND.054.27","2020-07-27","209","1.093.020",79,79,79,79
"81","1.093.020_2020-08-02","ND.213","ND.054.27","2020-08-02","215","1.093.020",79,79,79,79
"82","1.093.020_2020-08-09","ND.213","ND.054.27","2020-08-09","222","1.093.020",83,83,81,81
"83","1.093.020_2020-08-13","ND.213","ND.054.27","2020-08-13","226","1.093.020",85,85,85,85
"84","1.093.020_2020-08-16","ND.213","ND.054.27","2020-08-16","229","1.093.020",85,85,85,85
"85","1.093.020_2020-08-22","ND.213","ND.054.27","2020-08-22","235","1.093.020",85,85,85,85
"86","1.093.020_2020-08-26","ND.213","ND.054.27","2020-08-26","239","1.093.020",85,85,85,85
"87","1.093.020_2021-05-08","ND.213","ND.054.27","2021-05-08","128","1.093.020",7,7,7,5
"88","1.093.020_2021-05-14","ND.213","ND.054.27","2021-05-14","134","1.093.020",8,8,8,8
"89","1.093.020_2021-05-17","ND.213","ND.054.27","2021-05-17","137","1.093.020",12,13,12,12
"90","1.093.020_2021-05-20","ND.213","ND.054.27","2021-05-20","140","1.093.020",15,15,15,14
"91","1.093.020_2021-05-25","ND.213","ND.054.27","2021-05-25","145","1.093.020",55,55,55,53
"92","1.093.020_2021-06-01","ND.213","ND.054.27","2021-06-01","152","1.093.020",55,55,55,55
"93","1.093.020_2021-06-04","ND.213","ND.054.27","2021-06-04","155","1.093.020",61,61,62,65
"94","1.093.020_2021-06-07","ND.213","ND.054.27","2021-06-07","158","1.093.020",69,69,69,69
"95","1.093.020_2021-06-14","ND.213","ND.054.27","2021-06-14","165","1.093.020",73,73,73,73
"96","1.093.020_2021-06-17","ND.213","ND.054.27","2021-06-17","168","1.093.020",75,75,73,73
"97","1.093.020_2021-06-21","ND.213","ND.054.27","2021-06-21","172","1.093.020",75,75,75,75
"98","1.093.020_2021-06-24","ND.213","ND.054.27","2021-06-24","175","1.093.020",75,75,75,75
"99","1.093.020_2021-06-28","ND.213","ND.054.27","2021-06-28","179","1.093.020",79,79,79,79
"100","1.093.020_2021-07-02","ND.213","ND.054.27","2021-07-02","183","1.093.020",79,79,79,79
"101","1.093.020_2021-07-07","ND.213","ND.054.27","2021-07-07","188","1.093.020",79,79,79,79
